ext_col,ext_col_map
Typhoon Gray Metallic,294
Ultra Black,295
Ultra White,296
Vega Blue,297
Velvet Red Pearlcoat,298
Verde,299
Vik Black,300
Volcanic Orange,301
Volcano Grey Metallic,302
Vulcano Black Metallic,303
White,304
White Clearcoat,305
White Diamond Tri-Coat,306
White Frost Tri-Coat,307
White Knuckle Clearcoat,308
White Platinum Tri-Coat Metallic,309
Wind Chill Pearl,310
Wolf Gray,311
Yellow,312
Yulong,313
Yulong White,314
designo Diamond White,315
designo Diamond White Bright,316
designo Diamond White Metallic,317
–,318
